Category:
heterophase
Name,Lattice type 1,Lattice type 2,h1,k1,l1,h2,k2,l2,u1,v1,w1,u2,v2,w2
ksor-01,cF,cI,1,1,1,0,1,1,1,0,-1,1,1,-1
ksor-02,cF,cI,1,1,1,0,1,1,1,0,-1,-1,1,-1
ksor-03,cF,cI,1,1,1,0,1,1,-1,1,0,1,1,-1
ksor-04,cF,cI,1,1,1,0,1,1,-1,1,0,-1,1,-1
ksor-05,cF,cI,1,1,1,0,1,1,0,-1,1,1,1,-1
ksor-06,cF,cI,1,1,1,0,1,1,0,-1,1,-1,1,-1
ksor-07,cF,cI,-1,1,1,0,1,1,1,0,1,1,1,-1
ksor-08,cF,cI,-1,1,1,0,1,1,1,0,1,-1,1,-1
ksor-09,cF,cI,-1,1,1,0,1,1,-1,-1,0,1,1,-1
ksor-10,cF,cI,-1,1,1,0,1,1,-1,-1,0,-1,1,-1
ksor-11,cF,cI,-1,1,1,0,1,1,0,1,-1,1,1,-1
ksor-12,cF,cI,-1,1,1,0,1,1,0,1,-1,-1,1,-1
ksor-13,cF,cI,1,-1,1,0,1,1,-1,0,1,1,1,-1
ksor-14,cF,cI,1,-1,1,0,1,1,-1,0,1,-1,1,-1
ksor-15,cF,cI,1,-1,1,0,1,1,1,1,0,1,1,-1
ksor-16,cF,cI,1,-1,1,0,1,1,1,1,0,-1,1,-1
ksor-17,cF,cI,1,-1,1,0,1,1,0,-1,-1,1,1,-1
ksor-18,cF,cI,1,-1,1,0,1,1,0,-1,-1,-1,1,-1
ksor-19,cF,cI,1,1,-1,0,1,1,-1,0,-1,1,1,-1
ksor-20,cF,cI,1,1,-1,0,1,1,-1,0,-1,-1,1,-1
ksor-21,cF,cI,1,1,-1,0,1,1,1,-1,0,1,1,-1
ksor-22,cF,cI,1,1,-1,0,1,1,1,-1,0,-1,1,-1
ksor-23,cF,cI,1,1,-1,0,1,1,0,1,1,1,1,-1
ksor-24,cF,cI,1,1,-1,0,1,1,0,1,1,-1,1,-1
