Category:
heterophase
Name,Lattice type 1,Lattice type 2,h1,k1,l1,h2,k2,l2,u1,v1,w1,u2,v2,w2
nwor-01,cF,cI,1,1,1,0,1,1,1,0,-1,1,0,0
nwor-02,cF,cI,1,1,1,0,1,1,-1,1,0,1,0,0
nwor-03,cF,cI,1,1,1,0,1,1,0,-1,1,1,0,0
nwor-04,cF,cI,-1,1,1,0,1,1,1,0,1,1,0,0
nwor-05,cF,cI,-1,1,1,0,1,1,-1,-1,0,1,0,0
nwor-06,cF,cI,-1,1,1,0,1,1,0,1,-1,1,0,0
nwor-07,cF,cI,1,-1,1,0,1,1,-1,0,1,1,0,0
nwor-08,cF,cI,1,-1,1,0,1,1,1,1,0,1,0,0
nwor-09,cF,cI,1,-1,1,0,1,1,0,-1,-1,1,0,0
nwor-10,cF,cI,1,1,-1,0,1,1,-1,0,-1,1,0,0
nwor-11,cF,cI,1,1,-1,0,1,1,1,-1,0,1,0,0
nwor-12,cF,cI,1,1,-1,0,1,1,0,1,1,1,0,0
