Phases:
0,Not indexed,0
2,Iron,60696
1,Iron,310619
Map Size:
X,256
Y,192
Data:
K,Cluster Size,Phase,Euler1,Euler2,Euler3,Index Quality,Pattern Quality,IPF x-coordinate,IPF y-coordinate,Kernel Average Misorientation,GND Density,Channelling Fraction
0,1578,0,0.0,0.0,0.0,5.383460076045626,40.564404309252275,0,0,0.33513508705532774,11.953842794064945,1.3074019135705568
1,203,1,30.172436586138875,145.58049417470454,34.24608991976265,89.79285714285714,47.969802955665,0.17430474115824196,0.2560383587312085,0.8855466462078674,11.968671306202546,31.789239747411013
2,80,1,83.41009779337308,156.56006828914656,19.38896423548076,87.12837500000003,50.92300000000001,0.0688702941560127,0.19568809644531457,1.2885919946313134,12.167700528934116,0.0
3,5930,1,40.348146784197986,166.7424589550389,25.32162749531047,85.93162900505901,52.71425801011798,0.049704126823355094,0.1050472462941925,0.6117707677229183,11.921149208139044,0.0
4,1416,1,76.33467905480288,139.04071795490026,10.424758812521379,88.65824152542368,53.48795197740115,0.0675789731241153,0.3673148396468354,0.7979519374558598,12.05305646607682,32.40572405245072
5,5494,1,172.46853093284463,141.48256227862703,39.96766292455891,85.11067710229335,52.3603330906444,0.22443013980062176,0.2677721979817024,0.6725330722047458,11.874644995342518,27.008288869758584
6,5516,1,126.57453623424219,133.96434069360583,39.77069859476538,80.59448332124725,48.561383248731126,0.27177860373749035,0.32653823287379147,0.25181956045843806,11.61940183657778,0.0
7,78,1,74.79441330592424,161.19131190804734,13.406524030693147,85.15897435897438,44.81038461538462,0.0384020146101714,0.16111340681450545,5.059658460014075,12.984471370552674,0.0
8,817,1,16.415568952743136,147.60361179021012,39.184301532101486,87.55801713586294,48.28222766217865,0.18353819828454418,0.22516599578727778,1.2997663662703445,11.978469373939324,30.57212391233376
9,48,2,102.33687151264719,138.9753373710382,44.58923641778384,87.460625,44.286458333333336,0.2626464780001883,0.2664396551001791,3.4588810333912563,12.289972980017197,34.956924083376904
10,1249,1,165.28948798855254,145.02169519294256,3.2295970052835314,88.14850280224191,52.10167333867095,0.01775134320692375,0.3145902250861303,0.8085425690404822,12.143819784495122,0.009145462889276037
11,549,1,20.202397505262258,133.47767160948226,38.84935084003936,85.55349726775954,48.14644808743177,0.2696433426980222,0.33477778589770296,0.5464586431023016,11.753898348030686,0.0
12,226,1,39.156821456244536,159.89726331355456,29.087960418593116,87.73446902654867,51.530707964601795,0.08617115293713033,0.15489559020980267,5.16823501338096,13.36492429010544,0.0
13,869,1,121.42060632332415,128.77033678480677,37.977431391084956,88.52677790563868,50.47680092059838,0.2950226956662856,0.3779185722130475,1.2510081182100288,12.65963201127284,0.0
14,16644,1,90.18108733336096,141.6765720317731,33.535624810825446,91.43705960105736,52.56506729151612,0.19197148092837227,0.2896458162828391,0.4634558219171377,11.814377758771764,10.543963958473208
15,857,1,116.31845325242918,135.7250306027628,14.54632121790538,88.96309218203034,48.27525087514582,0.10217803033612916,0.39377953694045625,1.1480022585946277,12.244163907257418,0.0
16,2275,1,118.16184205205431,169.03697754289752,40.3657749095966,84.15742857142841,50.737890109890145,0.06215210948645603,0.07311692635838093,0.6173590688390689,11.890929285826234,0.0
17,1090,1,171.53649602536848,170.81506325349153,42.0448417690916,85.56206422018347,50.56119266055044,0.05379514548063992,0.05965161021169754,0.709639327145096,12.041687992042574,0.0
18,1165,1,69.81437700826724,146.4258221090356,31.926036225405408,91.24169957081537,48.81747639484978,0.15953138036789544,0.25603846507761835,1.0890681255782475,11.93348654419569,15.169613664791775
19,2663,1,14.125425494122783,157.34263195084904,9.875298594305288,92.59184003004133,50.63820878708218,0.034359254942590504,0.19737201757454445,1.2577395828543296,12.47443594513495,0.0
20,405,1,76.40479633225796,136.43454511595738,32.901448113896365,85.77822222222224,47.31264197530863,0.21707284034909352,0.33552492876043916,0.5901016799671503,11.680272047914514,0.0
Orientation Relationships:
Variant,K1,K2,Misorientation,Projection
twin-112,1,2,0.10262779120861898,0.9999983958144969
twin-111,12,13,0.13862845926264836,0.9999970729555305
twin-111,5,8,0.14606823189239723,0.9999967503540359
twin-112,14,19,0.15790679509647326,0.9999962022523572
twin-111,14,18,0.15888390654494694,0.9999961551068064
twin-112,2,10,0.19924307859691637,0.999993953684724
twin-112,5,7,0.2849786364303726,0.9999876306051687
twin-113,6,20,0.9629674215477868,0.9998587665052392
twin-223,19,20,1.3175028399367923,0.9997356320988939
twin-113,18,19,3.154443516799638,0.9984848328416029
twin-013,2,3,3.327776479364416,0.998313792775495
twin-113,4,10,3.4436136167595435,0.9981943946410474
twin-012,3,4,3.6665342564532297,0.9979531405554272
twin-233,1,13,4.0316719550481315,0.9975253378748454
twin-223,6,16,4.072529485876758,0.9974749478025564
twin-123,7,15,4.1420698492342645,0.9973880165320932
twin-122,14,20,4.395410202082276,0.9970588947655559
twin-112,5,20,4.711588852363172,0.9966207932514308
twin-233,18,20,5.1890927887164136,0.9959016340003459
twin-023,11,13,5.210968431466722,0.995867030097761
twin-123,1,14,5.212256340681122,0.9958649882984232
twin-122,7,19,5.227699557937138,0.9958404660536124
twin-123,2,19,5.38254906335052,0.9955905815871928
twin-112,1,17,5.493581220404109,0.9954069296090893
twin-122,13,18,5.954701098220669,0.9946042263050296
twin-012,15,17,5.994313848684903,0.9945322640909946
twin-113,7,8,6.2891410119586615,0.9939817350093425
twin-113,13,20,6.490938123132832,0.9935897474233042
twin-023,6,11,6.577660781406909,0.9934175032755943
twin-112,6,11,6.643515149283168,0.993285186343928
twin-233,1,7,6.668629012128577,0.99323438104798
twin-111,6,12,6.729257035953249,0.9931109442931705
twin-013,2,8,6.789190236729224,0.992987829232578
twin-233,1,6,6.798263715980923,0.9929690957494084
twin-112,1,15,6.821021922478946,0.9929219986478999
twin-012,5,10,6.952566846838384,0.992646702831208
twin-233,1,11,6.953609756864859,0.9926444993323329
twin-123,11,20,6.968651163429898,0.9926126827154882
twin-013,4,20,7.010271670265427,0.9925242876301152
twin-233,5,17,7.035162237830674,0.9924711739089662
twin-123,7,13,7.035164711948601,0.9924711686201619
twin-123,5,6,7.1491501553997585,0.9922255434750928
twin-113,12,17,7.222536605124748,0.992065326249743
twin-012,11,20,7.248703525049357,0.9920078050253054
twin-012,3,12,7.268523147589875,0.9919640989862615
twin-122,1,11,7.311527086661379,0.9918688589449376
twin-223,13,16,7.621024657880131,0.9911669421012639
ksor-03,8,9,7.895876140533426,0.9905193532336602
twin-233,4,15,7.997613917750108,0.9902738637454593
twin-123,7,16,8.054363359734989,0.9901355728439669
twin-013,4,11,8.115209789357692,0.989986219065526
nwor-01,8,9,8.16538693900232,0.9898622141256448
twin-233,16,20,8.200871769110863,0.9897740606595777
twin-023,7,16,8.540857202913143,0.9889102100988387
twin-112,7,18,8.595205109325738,0.9887688916935271
twin-013,5,18,8.634649900270668,0.9886657680208899
twin-122,6,18,8.725183432983176,0.9884273070807486
twin-123,2,12,8.73429782824743,0.9884031634646033
twin-011,5,8,8.759504113814659,0.9883362629352239
twin-112,3,8,8.792476821397653,0.9882484606160484
twin-123,3,19,8.810480813415904,0.9882003800243604
twin-012,13,15,8.882420264633879,0.9880072881651898
twin-123,4,14,8.895868061900202,0.9879710202828462
twin-133,15,18,8.924141179282186,0.9878945919269095
twin-012,4,14,9.066735922710526,0.9875054617983006
twin-123,5,10,9.16316882531214,0.987238836778515
twin-233,6,13,9.200241205332382,0.9871355919920641
twin-133,13,14,9.205002431934725,0.9871223022587261
twin-013,10,16,9.262611774298806,0.9869609604807288
twin-013,3,16,9.265249146215362,0.9869535503222218
twin-223,12,20,9.290811388831681,0.9868816203664108
twin-123,1,5,9.306204696606677,0.9868382101571023
twin-223,2,14,9.462773654787073,0.9863926284637001
twin-012,15,20,9.510697019671689,0.9862547702551714
twin-023,1,8,9.534448277958681,0.9861861907384655
